"name","country.etc","pop","lat","long","group","cycle"
"Knoxville TN","TN",172000,35.97,-83.95,"Confederate",29
"Harrisburg PA","PA",47576,40.28,-76.88,"Union",18
"Reston VA","VA",61977,38.95,-77.35,"Confederate",29
"Edina MN","MN",45648,44.89,-93.36,"Union",18
"North Little Rock AR","AR",58771,34.79,-92.26,"Confederate",29
"Salem NH","NH",42859,42.53,-70.87,"Union",18
"Memphis TN","TN",639736,35.11,-90.01,"Confederate",30
"Woonsocket RI","RI",46297,42,-71.5,"Union",18
"Redan GA","GA",40141,33.74,-84.16,"Confederate",30
"Greenwood IN","IN",42298,39.62,-86.11,"Union",18
"Shreveport LA","LA",196228,32.47,-93.8,"Confederate",30
"Palatine IL","IL",68308,42.11,-88.04,"Union",18
"Carol City FL","FL",63659,25.94,-80.27,"Confederate",30
"Syracuse NY","NY",140793,43.04,-76.14,"Union",18
"Cary NC","NC",106117,35.78,-78.8,"Confederate",30
"Augusta ME","ME",18626,44.32,-69.77,"Union",18
"North Little Rock AR","AR",58771,34.79,-92.26,"Confederate",30
"Wauwatosa WI","WI",45076,43.06,-88.03,"Union",18
"Birmingham AL","AL",229300,33.53,-86.8,"Confederate",30
"Council Bluffs IA","IA",58834,41.24,-95.86,"Union",18
"Mount Pleasant SC","SC",61690,32.82,-79.86,"Confederate",30
"Lowell MA","MA",103085,42.64,-71.32,"Union",18
"Arlington TX","TX",374729,32.69,-97.13,"Confederate",30
"Cincinnati OH","OH",301561,39.14,-84.51,"Union",18
"Arlington VA","VA",184603,38.88,-77.1,"Confederate",30
"Passaic NJ","NJ",69035,40.86,-74.13,"Union",18
"Hattiesburg MS","MS",48728,31.31,-89.31,"Confederate",30
"Topeka KS","KS",121229,39.04,-95.69,"Union",18
"Atlanta GA","GA",424096,33.76,-84.42,"Confederate",31
"Lawrence KS","KS",83948,38.96,-95.26,"Union",19
"Mobile AL","AL",188467,30.68,-88.09,"Confederate",31
"Euclid OH","OH",49602,41.59,-81.52,"Union",19
"Arlington TX","TX",374729,32.69,-97.13,"Confederate",31
"Aloha OR","OR",45531,45.49,-122.87,"Union",19
"Conway AR","AR",53297,35.09,-92.45,"Confederate",31
"Salem NH","NH",42859,42.53,-70.87,"Union",19
"Mount Pleasant SC","SC",61690,32.82,-79.86,"Confederate",31
"Methuen MA","MA",45666,42.73,-71.19,"Union",19
"Memphis TN","TN",639736,35.11,-90.01,"Confederate",31
"Wilkes-Barre PA","PA",40242,41.25,-75.88,"Union",19
"Hickory NC","NC",40968,35.74,-81.33,"Confederate",31
"Manteca CA","CA",69588,37.8,-121.22,"Union",19
"Virginia Beach VA","VA",453884,36.74,-76.04,"Confederate",31
"Bloomington MN","MN",80627,44.83,-93.32,"Union",19
"New Orleans LA","LA",454207,30.07,-89.93,"Confederate",31
"Waterbury CT","CT",108645,41.56,-73.04,"Union",19
"Southaven MS","MS",40806,34.97,-90,"Confederate",31
"Albany NY","NY",93576,42.67,-73.8,"Union",19
"Boca Raton FL","FL",81868,26.37,-80.11,"Confederate",31
"Ames IA","IA",57683,42.02,-93.63,"Union",19
"Coconut Creek FL","FL",51848,26.28,-80.18,"Confederate",32
"Skokie IL","IL",64350,42.04,-87.74,"Union",19
"North Charleston SC","SC",83247,32.91,-80.04,"Confederate",32
"Warwick RI","RI",88443,41.7,-71.42,"Union",19
"Chapel Hill NC","NC",47613,35.93,-79.04,"Confederate",32
"Carmel IN","IN",49188,39.97,-86.11,"Union",19
"Burke VA","VA",58270,38.78,-77.27,"Confederate",32
"Augusta ME","ME",18626,44.32,-69.77,"Union",19
"Atlanta GA","GA",424096,33.76,-84.42,"Confederate",32
"Troy MI","MI",81296,42.58,-83.14,"Union",19
"Dothan AL","AL",62449,31.24,-85.41,"Confederate",32
"Elizabeth NJ","NJ",124552,40.67,-74.19,"Union",19
"Conway AR","AR",53297,35.09,-92.45,"Confederate",32
"Waukesha WI","WI",68725,43.01,-88.24,"Union",19
"Hattiesburg MS","MS",48728,31.31,-89.31,"Confederate",32
"Lakeville MN","MN",52745,44.68,-93.24,"Union",20
"Kenner LA","LA",69514,29.99,-90.25,"Confederate",32
"Sterling Heights MI","MI",127027,42.58,-83.03,"Union",20
"Arlington TX","TX",374729,32.69,-97.13,"Confederate",32
"Warwick RI","RI",88443,41.7,-71.42,"Union",20
"Knoxville TN","TN",172000,35.97,-83.95,"Confederate",32
"Augusta ME","ME",18626,44.32,-69.77,"Union",20
"Tuscaloosa AL","AL",80164,33.24,-87.54,"Confederate",33
"Cedar Rapids IA","IA",123243,41.97,-91.67,"Union",20
"North Little Rock AR","AR",58771,34.79,-92.26,"Confederate",33
"North Bergen NJ","NJ",64575,40.79,-74.03,"Union",20
"Lafayette LA","LA",112317,30.22,-92.03,"Confederate",33
"West Haven CT","CT",53545,41.27,-72.97,"Union",20
"San Marcos TX","TX",49051,29.88,-97.93,"Confederate",33
"State College PA","PA",42420,40.79,-77.86,"Union",20
"Macon GA","GA",93755,32.84,-83.66,"Confederate",33
"Lenexa KS","KS",43935,38.96,-94.79,"Union",20
"Knoxville TN","TN",172000,35.97,-83.95,"Confederate",33
"Troy NY","NY",47993,42.73,-73.68,"Union",20
"Sumter SC","SC",40018,33.94,-80.39,"Confederate",33
"Mansfield OH","OH",50010,40.76,-82.53,"Union",20
"Greensboro NC","NC",233342,36.08,-79.83,"Confederate",33
"Nashua NH","NH",87113,42.75,-71.49,"Union",20
"Jackson MS","MS",175085,32.32,-90.21,"Confederate",33
"Oshkosh WI","WI",62967,44.02,-88.55,"Union",20
"Arlington VA","VA",184603,38.88,-77.1,"Confederate",33
"Long Beach CA","CA",486571,33.79,-118.16,"Union",20
"North Miami Beach FL","FL",39551,25.93,-80.17,"Confederate",33
"Naperville IL","IL",147178,41.76,-88.15,"Union",20
"Kenner LA","LA",69514,29.99,-90.25,"Confederate",34
"Quincy MA","MA",89347,42.26,-71.01,"Union",20
"Flower Mound TX","TX",70449,33.03,-97.09,"Confederate",34
"Hammond IN","IN",78051,41.62,-87.49,"Union",20
"Tamiami FL","FL",72493,25.76,-80.4,"Confederate",34
"Bend OR","OR",68945,44.07,-121.31,"Union",20
"Fayetteville AR","AR",66288,36.07,-94.16,"Confederate",34
"Peoria IL","IL",112894,40.74,-89.61,"Union",21
"Macon GA","GA",93755,32.84,-83.66,"Confederate",34
"Corvallis OR","OR",50932,44.57,-123.28,"Union",21
"Wilson NC","NC",47191,35.73,-77.92,"Confederate",34
"Salem NH","NH",42859,42.53,-70.87,"Union",21
"Mount Pleasant SC","SC",61690,32.82,-79.86,"Confederate",34
"Troy MI","MI",81296,42.58,-83.14,"Union",21
"Tuscaloosa AL","AL",80164,33.24,-87.54,"Confederate",34
"New Britain CT","CT",71362,41.68,-72.79,"Union",21
"Virginia Beach VA","VA",453884,36.74,-76.04,"Confederate",34
"Hamilton NJ","NJ",91245,40.09,-74.39,"Union",21
"Memphis TN","TN",639736,35.11,-90.01,"Confederate",34
"Burnsville MN","MN",59357,44.76,-93.28,"Union",21
"Jackson MS","MS",175085,32.32,-90.21,"Confederate",34
"Utica NY","NY",58151,43.1,-75.23,"Union",21
"Tampa FL","FL",328578,27.96,-82.48,"Confederate",35
"Altoona PA","PA",46442,40.51,-78.4,"Union",21
"Kenner LA","LA",69514,29.99,-90.25,"Confederate",35
"Iowa City IA","IA",64490,41.66,-91.54,"Union",21
"Fayetteville AR","AR",66288,36.07,-94.16,"Confederate",35
"Fremont CA","CA",202574,37.53,-122,"Union",21
"Jackson MS","MS",175085,32.32,-90.21,"Confederate",35
"Pawtucket RI","RI",75297,41.87,-71.37,"Union",21
"Dothan AL","AL",62449,31.24,-85.41,"Confederate",35
"Augusta ME","ME",18626,44.32,-69.77,"Union",21
"Blacksburg VA","VA",40303,37.23,-80.43,"Confederate",35
"Hingham MA","MA",41654,42.24,-70.89,"Union",21
"Memphis TN","TN",639736,35.11,-90.01,"Confederate",35
"Cleveland Heights OH","OH",47123,41.51,-81.56,"Union",21
"Huntersville NC","NC",43970,35.41,-80.86,"Confederate",35
"Bloomington IN","IN",71260,39.17,-86.52,"Union",21
"Columbia SC","SC",118020,34.04,-80.89,"Confederate",35
"La Crosse WI","WI",50147,43.83,-91.23,"Union",21
"Athens-Clarke GA","GA",103618,33.95,-83.39,"Confederate",35
"Shawnee KS","KS",59626,39.02,-94.8,"Union",21
"Midland TX","TX",98261,32.03,-102.1,"Confederate",35
"Erie PA","PA",98968,42.13,-80.09,"Union",22
"Greensboro NC","NC",233342,36.08,-79.83,"Confederate",36
"Wyoming MI","MI",70474,42.89,-85.7,"Union",22
"Tuscaloosa AL","AL",80164,33.24,-87.54,"Confederate",36
"Mount Vernon NY","NY",68048,40.91,-73.83,"Union",22
"Coconut Creek FL","FL",51848,26.28,-80.18,"Confederate",36
"Augusta ME","ME",18626,44.32,-69.77,"Union",22
"Danville VA","VA",45382,36.58,-79.41,"Confederate",36
"Bloomington IN","IN",71260,39.17,-86.52,"Union",22
"New Orleans LA","LA",454207,30.07,-89.93,"Confederate",36
"Toms River NJ","NJ",127934,39.94,-74.17,"Union",22
"Pharr TX","TX",63806,26.18,-98.19,"Confederate",36
"Woonsocket RI","RI",46297,42,-71.5,"Union",22
"Memphis TN","TN",639736,35.11,-90.01,"Confederate",36
"Salem NH","NH",42859,42.53,-70.87,"Union",22
"Atlanta GA","GA",424096,33.76,-84.42,"Confederate",36
"Lowell MA","MA",103085,42.64,-71.32,"Union",22
"Little Rock AR","AR",184323,34.72,-92.35,"Confederate",36
"Waukesha WI","WI",68725,43.01,-88.24,"Union",22
"Sumter SC","SC",40018,33.94,-80.39,"Confederate",36
"Elyria OH","OH",55811,41.38,-82.11,"Union",22
"Hattiesburg MS","MS",48728,31.31,-89.31,"Confederate",36
"Overland Park KS","KS",169520,38.91,-94.68,"Union",22
"Memphis TN","TN",639736,35.11,-90.01,"Confederate",37
"Bend OR","OR",68945,44.07,-121.31,"Union",22
"Birmingham AL","AL",229300,33.53,-86.8,"Confederate",37
"Cedar Rapids IA","IA",123243,41.97,-91.67,"Union",22
"Columbus GA","GA",184900,32.51,-84.87,"Confederate",37
"Monterey Park CA","CA",63766,34.05,-118.13,"Union",22
"Pinellas Park FL","FL",46469,27.86,-82.71,"Confederate",37
