"name","country.etc","pop","lat","long","group","cycle"
"Altoona PA","PA",46442,40.51,-78.4,"Union",8
"Midland TX","TX",98261,32.03,-102.1,"Confederate",14
"Linden NJ","NJ",39964,40.63,-74.24,"Union",8
"Knoxville TN","TN",172000,35.97,-83.95,"Confederate",14
"Springfield OR","OR",56575,44.05,-122.98,"Union",8
"Hattiesburg MS","MS",48728,31.31,-89.31,"Confederate",14
"Nashua NH","NH",87113,42.75,-71.49,"Union",8
"Saint Petersburg FL","FL",245804,27.76,-82.64,"Confederate",14
"Woonsocket RI","RI",46297,42,-71.5,"Union",8
"Richmond VA","VA",189498,37.53,-77.47,"Confederate",14
"West Seneca NY","NY",44418,42.84,-78.75,"Union",8
"Sandy Springs GA","GA",96496,33.94,-84.37,"Confederate",14
"Cambridge MA","MA",101342,42.38,-71.12,"Union",8
"Baton Rouge LA","LA",222217,30.45,-91.13,"Confederate",14
"Lafayette IN","IN",62589,40.41,-86.87,"Union",8
"Conway AR","AR",53297,35.09,-92.45,"Confederate",14
"Dayton OH","OH",157607,39.78,-84.2,"Union",9
"Fayetteville NC","NC",124919,35.07,-78.9,"Confederate",14
"Iowa City IA","IA",64490,41.66,-91.54,"Union",9
"Dothan AL","AL",62449,31.24,-85.41,"Confederate",14
"Oshkosh WI","WI",62967,44.02,-88.55,"Union",9
"Rock Hill SC","SC",61899,34.94,-81.03,"Confederate",14
"North Brunswick Township NJ","NJ",39567,40.45,-74.48,"Union",9
"Orlando FL","FL",211226,28.5,-81.37,"Confederate",15
"Eagan MN","MN",64393,44.82,-93.16,"Union",9
"San Marcos TX","TX",49051,29.88,-97.93,"Confederate",15
"Binghamton NY","NY",45070,42.1,-75.91,"Union",9
"Huntersville NC","NC",43970,35.41,-80.86,"Confederate",15
"Southfield MI","MI",76506,42.48,-83.26,"Union",9
"Jackson TN","TN",62552,35.63,-88.83,"Confederate",15
"Yorba Linda CA","CA",65932,33.89,-117.77,"Union",9
"Fort Smith AR","AR",82304,35.37,-94.38,"Confederate",15
"Salem NH","NH",42859,42.53,-70.87,"Union",9
"Chantilly VA","VA",50103,38.88,-77.41,"Confederate",15
"Springfield OR","OR",56575,44.05,-122.98,"Union",9
"Dothan AL","AL",62449,31.24,-85.41,"Confederate",15
"Columbus IN","IN",39453,39.21,-85.91,"Union",9
"Southaven MS","MS",40806,34.97,-90,"Confederate",15
"Greenwich CT","CT",64100,41.04,-73.59,"Union",9
"Savannah GA","GA",124898,32.02,-81.13,"Confederate",15
"Altoona PA","PA",46442,40.51,-78.4,"Union",9
"Charleston SC","SC",106372,32.79,-79.99,"Confederate",15
"Augusta ME","ME",18626,44.32,-69.77,"Union",9
"Baton Rouge LA","LA",222217,30.45,-91.13,"Confederate",15
"Champaign IL","IL",76999,40.11,-88.26,"Union",9
"Chattanooga TN","TN",153617,35.07,-85.26,"Confederate",16
"Shawnee KS","KS",59626,39.02,-94.8,"Union",9
"Virginia Beach VA","VA",453884,36.74,-76.04,"Confederate",16
"East Providence RI","RI",50750,41.8,-71.36,"Union",9
"Lake Magdalene FL","FL",40413,28.07,-82.47,"Confederate",16
"Beverly MA","MA",40441,42.56,-70.84,"Union",9
"Jonesboro AR","AR",59233,35.82,-90.69,"Confederate",16
"Augusta ME","ME",18626,44.32,-69.77,"Union",10
"Bryan TX","TX",70386,30.67,-96.37,"Confederate",16
"Saginaw MI","MI",56685,43.42,-83.95,"Union",10
"Greensboro NC","NC",233342,36.08,-79.83,"Confederate",16
